dataset,rsme_in,rsme_out,rsme_tot,mape_in,mape_out,mape_tot,ape_in,ape_out,ape_tot
TaxiBJ,40.90132044966724,40.95855327277905,40.929946864890056,30.90369987487793,31.012624740600586,30.958127975463867,33829788.67252235,33908825.999311715,67738614.67183405
BikeNYC,6.508638090389315,6.607442832234722,6.558226535158597,26.49724578857422,26.425186157226562,26.46118927001953,204797.19532524134,204504.50058832442,409301.6959135657
TaxiNYC,168.83450471766406,159.64975696387236,164.30632197496607,30.647811889648438,25.093936920166016,27.193523406982422,338290.56578755676,455705.89524006745,793996.4610276243
RomaNord,5.5677643628300215,5.5677643628300215,5.5677643628300215,19.836824417114258,19.971973419189453,19.90457534790039,3115075.358519413,3152695.3996037873,6267770.758123201
RomaNord16x8,37.456641600656084,37.78888725538237,37.62977544445356,12.05903148651123,12.183317184448242,12.121373176574707,239504.42038181995,243532.29395600985,483036.71433782985
TaxiBJ,40.90132044966723,40.95855327277905,40.929946864890056,30.90369987487793,31.01262092590332,30.958131790161133,33829788.67252235,33908825.999311715,67738614.67183405
TaxiNYC,168.83450471766406,159.64975696387236,164.3063219749661,30.647811889648438,25.093936920166016,27.193523406982422,338290.56578755676,455705.89524006745,793996.4610276243
TaxiBJ,40.90132044966723,40.95855327277905,40.929946864890056,30.90369987487793,31.01262092590332,30.958131790161133,33829788.67252235,33908825.999311715,67738614.67183405,19.65906996954055
TaxiNYC,168.83450471766406,159.64975696387236,164.3063219749661,30.647811889648438,25.093936920166016,27.193523406982422,338290.56578755676,455705.89524006745,793996.4610276243,23.69784691220238
